predicted_price_lr,difference_lr,percent_change_lr
328780.4701549092,-88780.47015490918,-36.99
549814.075819399,-134814.07581939897,-32.49
427210.1464099572,-207710.1464099572,-94.63
424572.77109406795,-74572.77109406795,-21.31
468917.4326545745,-249017.4326545745,-113.24
361842.7040045799,58157.29599542008,13.85
266881.88272546604,182118.11727453396,40.56
1085889.340093523,-335989.34009352303,-44.8
1993637.427137278,3001362.572862722,60.09
1092538.692353378,-467638.69235337805,-74.83
410344.5401677126,-166344.5401677126,-68.17
406241.8257454322,-156241.82574543217,-62.5
355154.7874020892,-169654.78740208922,-91.46
751375.6491891409,-182375.64918914088,-32.05
795023.1101918961,-130023.11019189609,-19.55
238584.7906430182,136415.2093569818,36.38
532057.3796750337,-72057.37967503374,-15.66
1182793.488017515,-107793.48801751505,-10.03
288784.0365929282,-73884.03659292823,-34.38
461626.0832845075,-66626.0832845075,-16.87
683603.0683831675,-83603.0683831675,-13.93
1082076.8098719313,517923.1901280687,32.37
765966.0881931337,-86966.0881931337,-12.81
336272.567736221,-136272.567736221,-68.14
213479.94263274316,81520.05736725684,27.63
1059426.3147397414,130573.68526025862,10.97
410240.77460725093,-185240.77460725093,-82.33
311932.36263739783,-111932.36263739783,-55.97
417750.7984030426,72249.2015969574,14.74
759453.534829481,-164553.53482948104,-27.66
849040.5986624238,-252140.59866242378,-42.24
670131.0089736371,-540131.0089736371,-415.49
484531.8811178026,-362531.8811178026,-297.16
288541.2903766865,-41541.29037668649,-16.82
457045.6122670332,-32045.612267033197,-7.54
207691.88567801146,-38691.88567801146,-22.89
800701.4189001387,-75701.4189001387,-10.44
722394.5035022474,-122395.50350224739,-20.4
914231.0719218735,-229231.0719218735,-33.46
440797.6080642021,-161797.60806420213,-57.99
400305.50274544815,-220405.50274544815,-122.52
1072948.2047442237,302051.79525577626,21.97
366222.78490529093,-136222.78490529093,-59.23
768070.7616252245,86929.23837477551,10.17
315447.9105945653,-135547.91059456533,-75.35
892380.9367254558,106619.0632745442,10.67
1014956.2149382276,-300056.21493822755,-41.97
486457.8366027591,113292.16339724092,18.89
493096.17483170284,21903.82516829716,4.25
374319.0926165546,85180.90738344542,18.54
327897.7037794739,-135897.7037794739,-70.78
354660.73113242816,-159660.73113242816,-81.88
227262.9867276873,112237.0132723127,33.06
3049365.322924994,-299365.32292499393,-10.89
1277550.2995324973,97349.7004675027,7.08
422341.66817087075,-184341.66817087075,-77.45
1087388.962902585,162611.03709741496,13.01
