predict_price_nn,difference_nn,percent_change_nn
222606.92,-27633.921875,-14.17
827444.1,87555.875,9.57
358776.66,16223.34375,4.33
966765.4,23234.625,2.35
326335.53,38664.46875,10.59
575499.7,14500.3125,2.46
984786.44,-285786.4375,-40.89
343775.38,-43775.375,-14.59
528749.06,-129249.0625,-32.35
323754.06,-34754.0625,-12.03
261899.3,-3999.296875,-1.55
320153.44,-115153.4375,-56.17
821900.56,-356000.5625,-76.41
340246.66,-125346.65625,-58.33
1264873.6,-20873.625,-1.68
631265.2,-481365.1875,-321.12
699907.1,-50407.125,-7.76
245166.17,4833.828125,1.93
271430.84,-76430.84375,-39.2
552441.4,-2441.375,-0.44
964123.9,325876.125,25.26
733246.06,-308246.0625,-72.53
911093.8,-101093.8125,-12.48
308585.8,41314.1875,11.81
631351.75,88548.25,12.3
314265.9,-104770.90625,-50.01
274210.34,-24220.34375,-9.69
315019.94,-100119.9375,-46.59
1070205.9,-25205.875,-2.41
1291644.9,157355.125,10.86
516317.8,-41317.8125,-8.7
505028.16,106971.84375,17.48
1664248.0,2285752.0,57.87
315088.47,24911.53125,7.33
310508.9,17491.09375,5.33
658517.56,-133517.5625,-25.43
550765.8,-65765.8125,-13.56
408080.78,43919.21875,9.72
2248834.0,-823834.0,-57.81
352929.1,76970.90625,17.9
285527.53,-86527.53125,-43.48
768756.8,-229756.8125,-42.63
333467.9,-84380.90625,-33.88
228521.17,-3521.171875,-1.56
337804.53,-181319.53125,-115.87
878828.06,-266828.0625,-43.6
1070887.0,279113.0,20.68
608147.7,121852.3125,16.69
598391.8,-78491.8125,-15.1
460266.5,-51266.5,-12.53
813866.94,-484866.9375,-147.38
339366.34,-40866.34375,-13.69
286058.97,-8058.96875,-2.9
1366017.6,-117017.625,-9.37
377014.12,208885.875,35.65
299408.34,55591.65625,15.66
1763710.8,-473710.75,-36.72
445898.22,-108898.21875,-32.31
670170.2,-150270.1875,-28.9
1531562.9,117437.125,7.12
370380.53,19619.46875,5.03
314450.9,10549.09375,3.25
2237491.0,-838491.0,-59.94
368080.6,-57090.59375,-18.36
1301514.4,198485.625,13.23
1348721.2,-53721.25,-4.15
289431.22,-89431.21875,-44.72
394341.03,-29441.03125,-8.07
429370.75,-19370.75,-4.72
278056.72,26943.28125,8.83
414201.16,34798.84375,7.75
881185.6,318814.375,26.57
330630.66,-15630.65625,-4.96
185061.12,-57135.125,-44.66
683521.4,71478.625,9.47
639491.1,-50491.125,-8.57
656170.8,-161170.8125,-32.56
403462.75,-113562.75,-39.17
314039.9,71950.09375,18.64
741076.75,8923.25,1.19
615966.5,-101066.5,-19.63
522432.9,77567.09375,12.93
264335.1,-84335.09375,-46.85
719428.1,127571.875,15.06
479333.4,45666.59375,8.7
229539.94,58960.0625,20.44
295770.97,-91370.96875,-44.7
543216.8,51783.1875,8.7
561307.3,133692.6875,19.24
1240150.4,59849.625,4.6
848516.7,426483.3125,33.45
1120615.8,-120715.75,-12.07
420105.75,-105105.75,-33.37
275922.56,-35922.5625,-14.97
408049.78,6950.21875,1.67
429694.72,-210194.71875,-95.76
290385.16,59614.84375,17.03
425675.47,-205775.46875,-93.58
395947.22,24052.78125,5.73
346112.56,102887.4375,22.91
842716.75,-92816.75,-12.38
2694245.8,2300754.25,46.06
722732.9,-97832.875,-15.66
297628.97,-53628.96875,-21.98
288260.2,-38260.1875,-15.3
342838.56,-157338.5625,-84.82
491814.38,77185.625,13.57
738411.94,-73411.9375,-11.04
337580.94,37419.0625,9.98
517957.34,-57957.34375,-12.6
1302747.2,-227747.25,-21.19
231121.36,-16221.359375,-7.55
295513.84,99486.15625,25.19
652683.0,-52683.0,-8.78
1422877.8,177122.25,11.07
579657.06,99342.9375,14.63
242169.89,-42169.890625,-21.08
334447.12,-39447.125,-13.37
1257232.0,-67232.0,-5.65
256727.83,-31727.828125,-14.1
369317.53,-169317.53125,-84.66
444107.9,45892.09375,9.37
663806.4,-68906.375,-11.58
564756.75,32143.25,5.39
398946.84,-268946.84375,-206.88
366524.1,-244524.09375,-200.43
267695.8,-20695.8125,-8.38
398980.7,26019.3125,6.12
159430.61,9569.390625,5.66
727275.1,-2275.125,-0.31
614712.0,-14713.0,-2.45
815914.25,-130914.25,-19.11
258741.8,20258.203125,7.26
305709.7,-125809.6875,-69.93
1472026.1,-97026.125,-7.06
271816.66,-41816.65625,-18.18
958091.75,-103091.75,-12.06
204286.86,-24386.859375,-13.56
940341.1,58658.875,5.87
1260006.2,-545106.25,-76.25
402370.53,197379.46875,32.91
391590.2,123409.8125,23.96
364600.62,94899.375,20.65
202256.92,-10256.921875,-5.34
252936.4,-57936.40625,-29.71
332089.88,7410.125,2.18
4200399.5,-1450399.5,-52.74
1383592.5,-8692.5,-0.63
325416.6,-87416.59375,-36.73
1110994.0,139006.0,11.12
721433.25,53565.75,6.91
708894.2,-59894.1875,-9.23
194381.5,-115381.5,-146.05
498347.6,101552.40625,16.93
2334877.0,315123.0,11.89
418248.97,20751.03125,4.73
226295.64,-16497.640625,-7.86
1249168.2,-109168.25,-9.58
589198.0,160802.0,21.44
274486.88,15513.125,5.35
244028.64,-94028.640625,-62.69
451213.66,23786.34375,5.01
1035873.2,-425873.1875,-69.82
537989.56,-62989.5625,-13.26
1993693.6,1506306.375,43.04
443639.94,95360.0625,17.69
269055.66,-69055.65625,-34.53
730886.06,-180986.0625,-32.91
342318.34,66681.65625,16.3
686161.75,68838.25,9.12
366434.88,63465.125,14.76
471048.3,-56053.3125,-13.51
370629.56,-41629.5625,-12.65
819685.1,145314.875,15.06
279454.5,-159554.5,-133.07
498694.8,651305.1875,56.64
822399.8,-97399.8125,-13.43
199080.5,719.5,0.36
1632877.6,-157877.625,-10.7
1116994.4,-436994.375,-64.26
285542.94,43957.0625,13.34
275342.72,24557.28125,8.19
958364.06,-518464.0625,-117.86
974505.1,-29505.125,-3.12
