predict_price_nn,difference_nn,percent_change_nn
246490.14,-31490.140625,-14.65
545845.8,253154.1875,31.68
1019119.2,375880.8125,26.94
836082.44,162917.5625,16.31
457047.75,-77147.75,-20.31
681347.9,96652.125,12.42
310085.0,-100185.0,-47.73
227297.92,-47397.921875,-26.35
398800.4,146099.59375,26.81
192544.78,-17545.78125,-10.03
1504624.4,-309624.375,-25.91
494420.7,-31420.6875,-6.79
546011.2,8988.8125,1.62
1999438.9,299561.125,13.03
394016.84,-10016.84375,-2.61
402760.53,-177760.53125,-79.0
230484.66,-150584.65625,-188.47
641054.7,283945.3125,30.7
817489.06,-7489.0625,-0.92
370332.1,-21332.09375,-6.11
491038.53,-66038.53125,-15.54
1206494.5,-207494.5,-20.77
372650.16,107349.84375,22.36
225341.75,-341.75,-0.15
470779.78,18220.21875,3.73
196729.9,43170.09375,18.0
282012.1,-82012.09375,-41.01
1040564.2,-165564.1875,-18.92
1067522.1,-477622.125,-80.97
1045892.25,-145892.25,-16.21
341602.56,23397.4375,6.41
310698.97,-20798.96875,-7.17
302547.03,-63047.03125,-26.32
477297.62,-22297.625,-4.9
524267.88,150732.125,22.33
258469.2,36530.796875,12.38
861848.56,108151.4375,11.15
695950.6,-45950.625,-7.07
410458.28,99541.71875,19.52
1462651.6,-312651.625,-27.19
516997.5,-106997.5,-26.1
433289.66,6710.34375,1.53
646158.25,-31168.25,-5.07
308890.56,-96390.5625,-45.36
411317.47,23682.53125,5.44
188348.7,10551.296875,5.3
188964.81,7035.1875,3.59
388999.47,26000.53125,6.27
608813.9,-18813.875,-3.19
1374636.5,-375736.5,-37.62
805927.44,-215927.4375,-36.6
436914.4,8085.59375,1.82
410351.84,49548.15625,10.77
353419.72,-103419.71875,-41.37
1497914.6,-798914.625,-114.29
539745.0,-30845.0,-6.06
1070856.1,29143.875,2.65
606973.3,-71973.3125,-13.45
528787.8,170212.1875,24.35
188781.67,21118.328125,10.06
547521.6,-147521.625,-36.88
269419.44,-74519.4375,-38.23
294142.75,-34142.75,-13.13
275028.7,-70128.6875,-34.23
498624.97,201325.03125,28.76
424082.22,-182059.21875,-75.22
385595.34,-16595.34375,-4.5
